AOC,data_type,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,wine_type
BORDEAUX MOUSSEUX/CREMANT,R,11,12,10,13,13,14,25,34,50,24,48,APPELLATIONS BLANCHES
CHAMPAGNE,R,2811,1809,1332,1904,1933,2575,2481,2238,1929,1958,2258,APPELLATIONS BLANCHES
CLAIRETTE DE DIE,R,74,87,87,86,88,94,94,96,87,40,95,APPELLATIONS BLANCHES
COTES DU JURA MOUSSEUX/CREMANT,R,18,18,18,23,16,15,16,16,20,7,19,APPELLATIONS BLANCHES
CREMANT DE BOURGOGNE,R,133,129,117,118,113,146,167,151,147,148,138,APPELLATIONS BLANCHES
CREMANT DE DIE,R,2,3,2,2,1,1,2,3,3,1,2,APPELLATIONS BLANCHES
CREMANT DE LOIRE,R,88,95,81,87,75,104,112,101,111,117,59,APPELLATIONS BLANCHES
CREMANT D'ALSACE,R,249,250,236,184,271,240,272,246,297,241,332,APPELLATIONS BLANCHES
LIMOUX MOUSSEUX/CREMANT,R,60,59,83,84,76,80,76,75,81,66,66,APPELLATIONS BLANCHES
MONTLOUIS MOUSSEUX,R,10,10,11,12,5,11,10,11,3,10,13,APPELLATIONS BLANCHES
SAUMUR MOUSSEUX,R,73,92,89,85,65,68,69,79,70,79,73,APPELLATIONS BLANCHES
TOURAINE MOUSSEUX,R,17,25,23,25,12,20,14,17,16,15,25,APPELLATIONS BLANCHES
VOUVRAY MOUSSEUX,R,64,92,81,82,60,63,62,58,53,72,89,APPELLATIONS BLANCHES
ANJOU MOUSSEUX,R,0,1,1,1,1,2,2,1,1,2,2,APPELLATIONS ROUGES ET ROSEES
BORDEAUX MOUSSEUX/CREMANT,R,3,4,3,3,5,6,8,10,14,20,21,APPELLATIONS ROUGES ET ROSEES
CREMANT DE BOURGOGNE,R,3,2,2,2,1,2,2,3,5,3,6,APPELLATIONS ROUGES ET ROSEES
CREMANT DE LOIRE,R,8,11,11,15,12,14,15,19,14,21,27,APPELLATIONS ROUGES ET ROSEES
SAUMUR MOUSSEUX,R,6,8,10,14,7,4,7,5,5,6,9,APPELLATIONS ROUGES ET ROSEES
TOURAINE MOUSSEUX,R,8,6,6,12,8,12,11,11,9,7,8,APPELLATIONS ROUGES ET ROSEES
BORDEAUX Y compris BORDEAUX SUPERIEUR,R,2374,2919,2825,2713,2627,1844,2657,2586,2849,1689,2751,ROUGES ET ROSES
COTES DE BOURG,R,158,190,187,181,173,111,175,166,171,132,132,ROUGES ET ROSES
COTES DE CASTILLON,R,95,83,100,83,77,40,78,80,87,36,71,ROUGES ET ROSES
FRONSAC,R,32,38,34,37,31,19,34,31,38,21,34,ROUGES ET ROSES
GRAVES (y compris GRAVES DE VAYRES),R,117,134,143,134,128,96,130,137,145,84,146,ROUGES ET ROSES
HAUT-MEDOC,R,194,226,216,210,203,156,210,222,228,161,196,ROUGES ET ROSES
LALANDE DE POMEROL,R,44,56,52,57,49,40,54,53,60,20,51,ROUGES ET ROSES
LUSSAC SAINT EMILION,R,55,74,73,78,74,53,73,75,81,26,74,ROUGES ET ROSES
MARGAUX,R,61,64,64,55,63,48,65,72,75,49,57,ROUGES ET ROSES
MEDOC,R,270,293,277,272,262,212,228,271,284,236,283,ROUGES ET ROSES
MONTAGNE SAINT EMILION,R,63,76,76,82,79,57,78,75,86,30,68,ROUGES ET ROSES
PAUILLAC,R,53,56,54,53,47,37,47,54,54,56,47,ROUGES ET ROSES
PREMIERES COTES DE BLAYE,R,280,300,271,233,235,173,262,254,261,182,233,ROUGES ET ROSES
PREMIERES COTES DE BORDEAUX,R,103,138,156,89,82,54,75,76,84,45,59,ROUGES ET ROSES
SAINT EMILION ET SAINT EMILION GRAND CRU,R,207,220,234,249,234,170,232,245,257,111,228,ROUGES ET ROSES
SAINT ESTEPHE,R,54,60,53,56,52,40,52,61,63,62,55,ROUGES ET ROSES
SAINT JULIEN,R,42,42,40,36,36,29,36,43,42,40,39,ROUGES ET ROSES
BORDEAUX (y compris BORDEAUX SUPERIEUR),R,243,333,365,358,338,303,326,313,362,204,327,BLANCS
ENTRE DEUX MERS,R,59,76,79,78,69,61,77,78,93,59,101,BLANCS
GRAVES (y compris GRAVES SUPERIEUR),R,29,46,51,45,42,34,37,35,44,19,42,BLANCS
PREMIERES COTES DE BORDEAUX,R,6,7,7,6,8,4,4,3,3,2,3,BLANCS
LIQUOREUX (BARSAC CADILLAC CERONS LOUPIAC SAINTE-CROIX-DU-MONT ET SAUTERNES),R,49,80,81,63,64,58,47,59,72,44,78,BLANCS
dont SAUTERNES,R,21,39,41,29,29,27,22,28,36,20,46,BLANCS
BEAUJOLAIS et BEAUJOLAIS Supérieur,R,292,318,315,297,186,239,252,210,246,174,274,ROUGES ET ROSES
BEAUJOLAIS VILLAGES,R,185,225,210,236,125,183,198,145,188,157,211,ROUGES ET ROSES
BEAUJOLAIS CRUS,R,234,264,236,271,182,264,294,239,248,234,330,ROUGES ET ROSES
BOURGOGNE,R,86,100,83,92,61,121,143,119,111,134,151,ROUGES ET ROSES
BOURGOGNE HAUTES COTES DE BEAUNE,R,33,32,29,31,19,30,33,27,18,33,35,ROUGES ET ROSES
BOURGOGNE HAUTES COTES DE NUITS,R,23,26,24,24,20,24,26,21,17,26,28,ROUGES ET ROSES
BOURGOGNE PASSE TOUT GRAINS,R,32,31,22,23,11,15,18,13,7,10,14,ROUGES ET ROSES
MACON et MACON SUPERIEUR,R,25,25,26,27,16,19,24,18,23,18,22,ROUGES ET ROSES
MERCUREY,R,17,20,15,15,21,21,25,21,22,25,25,ROUGES ET ROSES
BOURGOGNE,R,44,49,41,55,52,50,72,79,59,62,70,BLANCS
BOURGOGNE ALIGOTE,R,96,111,93,113,79,71,107,100,69,103,123,BLANCS
CHABLIS,R,192,193,184,203,190,185,250,259,138,201,168,BLANCS
"CHABLIS y compris CHABLIS 1er CRU, CHABLIS Gd CRU et PETIT CHABLIS",R,288,290,276,306,286,222,308,319,169,243,190,BLANCS
MACON VILLAGES,R,194,215,207,228,188,173,217,227,231,208,156,BLANCS
MEURSAULT,R,13,15,12,14,12,17,13,19,13,20,24,BLANCS
POUILLY FUISSE,R,39,43,39,46,38,34,43,42,36,42,50,BLANCS
SAINT VERAN,R,38,44,40,46,40,36,44,43,36,43,53,BLANCS
ANJOU Y compris ROSE D'ANJOU,R,165,211,230,195,160,196,184,185,168,135,193,"ROUGES ET ROSES (Secs, Doux)"
BOURGUEIL,R,50,68,65,70,57,48,64,64,22,60,74,"ROUGES ET ROSES (Secs, Doux)"
CABERNET D'ANJOU,R,221,331,329,291,281,300,326,336,331,281,383,"ROUGES ET ROSES (Secs, Doux)"
CHINON,R,87,114,106,115,80,79,92,99,54,84,115,"ROUGES ET ROSES (Secs, Doux)"
ROSE DE LOIRE,R,55,61,67,56,36,52,54,47,35,36,47,"ROUGES ET ROSES (Secs, Doux)"
SAINT NICOLAS DE BOURGUEIL,R,52,60,59,62,55,55,60,61,49,60,69,"ROUGES ET ROSES (Secs, Doux)"
SANCERRE,R,33,27,34,33,27,32,35,34,32,32,35,"ROUGES ET ROSES (Secs, Doux)"
SAUMUR,R,33,38,32,31,23,20,32,28,30,5,34,"ROUGES ET ROSES (Secs, Doux)"
SAUMUR CHAMPIGNY,R,70,75,79,84,65,64,85,83,78,65,90,"ROUGES ET ROSES (Secs, Doux)"
TOURAINE,R,88,98,96,97,58,89,83,75,61,57,92,"ROUGES ET ROSES (Secs, Doux)"
ANJOU,R,23,34,27,21,20,20,18,20,17,20,29,"BLANCS (Secs, Doux, Liquoreux)"
COTEAUX DU LAYON y compris Chaume et nom de commune,R,42,54,48,49,32,44,47,46,38,40,50,"BLANCS (Secs, Doux, Liquoreux)"
MUSCADET (Tous),R,301,645,429,441,246,446,408,417,244,279,472,"BLANCS (Secs, Doux, Liquoreux)"
POUILLY FUME / POUILLY SUR LOIRE,R,62,62,74,79,77,76,83,80,54,68,87,"BLANCS (Secs, Doux, Liquoreux)"
SANCERRE,R,130,105,134,141,139,138,148,142,142,141,158,"BLANCS (Secs, Doux, Liquoreux)"
SAUMUR,R,19,23,22,19,13,18,20,17,18,18,23,"BLANCS (Secs, Doux, Liquoreux)"
TOURAINE,R,98,128,133,120,85,127,136,120,124,108,158,"BLANCS (Secs, Doux, Liquoreux)"
VOUVRAY,R,48,40,39,42,35,32,50,49,42,45,54,"BLANCS (Secs, Doux, Liquoreux)"
BERGERAC ET COTES DE BERGERAC,R,247,350,319,316,284,184,282,264,290,152,256,ROUGES ET ROSES
BUZET,R,87,106,102,100,98,78,94,96,110,99,87,ROUGES ET ROSES
CAHORS,R,140,184,113,178,157,97,188,161,141,75,164,ROUGES ET ROSES
COTES DE DURAS,R,43,61,52,51,51,38,49,47,48,41,76,ROUGES ET ROSES
COTES DU FRONTONNAIS,R,73,71,67,66,60,46,67,69,70,43,57,ROUGES ET ROSES
COTES DU MARMANDAIS,R,43,54,48,46,39,31,40,41,45,35,40,ROUGES ET ROSES
GAILLAC,R,109,108,103,97,93,74,101,104,113,101,105,ROUGES ET ROSES
MADIRAN,R,48,72,69,64,58,47,54,58,62,61,60,ROUGES ET ROSES
BERGERAC ET COTES DE BERGERAC,R,99,128,154,134,123,100,112,110,129,70,124,BLANCS
GAILLAC,R,43,51,54,41,36,31,35,37,45,35,35,BLANCS
JURANCON,R,43,35,48,49,50,36,45,47,58,49,53,BLANCS
MONBAZILLAC,R,50,55,54,55,59,55,53,61,67,45,73,BLANCS
MONTRAVEL,R,6,8,7,6,6,5,5,4,4,3,3,BLANCS
CORBIERES,R,497,426,319,417,382,387,392,401,359,363,377,ROUGES ET ROSES
COSTIERES DE NIMES,R,200,193,193,183,174,178,204,221,210,189,159,ROUGES ET ROSES
LANGUEDOC,R,295,279,271,282,310,315,307,300,287,253,268,ROUGES ET ROSES
COTES DU ROUSSILLON,R,223,177,176,192,158,162,181,182,136,143,161,ROUGES ET ROSES
COTES DU ROUSSILLON VILLAGES,R,63,58,68,81,62,77,87,91,68,84,90,ROUGES ET ROSES
FAUGERES,R,66,59,55,68,63,61,64,58,54,50,44,ROUGES ET ROSES
FITOU,R,94,72,74,76,69,75,86,79,67,73,78,ROUGES ET ROSES
MINERVOIS,R,143,125,123,122,125,127,125,138,130,128,142,ROUGES ET ROSES
SAINT CHINIAN,R,113,101,94,106,106,105,105,113,99,93,86,ROUGES ET ROSES
TOUS VINS DOUX NATURELS,R,48,76,20,80,42,42,43,37,30,36,39,ROUGES ET ROSES
dont MAURY,R,7,6,5,6,5,4,5,5,3,4,8,ROUGES ET ROSES
dont RIVESALTES,R,23,13,7,61,35,38,36,32,27,32,32,ROUGES ET ROSES
LANGUEDOC y compris Picpoul de Pinet,R,74,77,81,91,79,93,96,110,101,88,79,BLANCS
COTES DU ROUSSILLON,R,4,5,7,7,7,8,10,12,10,12,14,BLANCS
TOUS VINS DOUX NATURELS,R,259,289,190,195,127,120,96,104,94,96,118,BLANCS
dont MUSCAT DE RIVESALTES,R,111,106,114,121,101,93,76,82,73,82,75,BLANCS
dont RIVESALTES,R,109,96,52,41,0,0,0,0,0,0,32,BLANCS
COTES DU RHONE,R,1513,1408,1369,1549,1383,1154,1429,1341,1393,1082,1254,VALLEE DU RHONE ROUGES ET ROSES
COTES DU RHONE VILLAGES,R,318,347,284,278,302,294,347,369,330,292,314,VALLEE DU RHONE ROUGES ET ROSES
COTES DU RHONE Communales dont :,R,312,332,320,351,293,260,278,244,329,265,306,VALLEE DU RHONE ROUGES ET ROSES
a/ CHATEAUNEUF DU PAPE,R,82,86,79,90,86,77,90,95,94,67,74,VALLEE DU RHONE ROUGES ET ROSES
